CardHolderID,Date
"221229073","12/16/2016"
"220360051","9/13/2016"
"219828266","10/20/2016"
"227169133","12/15/2016"
"205438062","12/19/2016"
"220801286","2/16/2017"
"215366907","11/14/2016"
"223136482","2/8/2017"
"219056090","4/3/2017"
"216487223","12/19/2016"
"222700981","3/31/2017"
"219440773","9/19/2016"
"221253883","1/4/2017"
"217008168","1/12/2017"
"225766187","9/28/2016"
"213403314","1/10/2017"
"219592011","12/16/2016"
"215540444","1/24/2017"
"226857217","12/1/2016"
"225161025","12/20/2016"
"216273300","3/13/2017"
"220360051","9/23/2016"
"221461676","5/5/2017"
"218923126","5/5/2017"
"215366907","11/16/2016"
"209097179","3/24/2017"
"226777548","2/15/2017"
"216055574","2/14/2017"
"222602104","4/6/2017"
"218738615","2/16/2017"
"217531037","3/31/2017"
"226599850","1/19/2017"
"233632579","12/15/2016"
"216403600","1/23/2017"
"220389456","11/28/2016"
"220076152","11/30/2016"
"215238999","12/20/2016"
"212713291","12/14/2016"
"222602104","11/18/2016"
"220181978","11/17/2016"
"219567153","11/17/2016"
"221373053","1/9/2017"
"218512499","1/4/2017"
"240191627","1/11/2017"
"220076152","12/6/2016"
"220317283","4/19/2017"
"226857217","3/21/2017"
"223269705","4/4/2017"
"217197847","3/2/2017"
"215009176","5/5/2017"
"219589413","11/28/2016"
"223136482","11/30/2016"
"226857217","5/8/2017"
"223133802","12/8/2016"
"223124025","12/16/2016"
"226723435","12/15/2016"
"226857217","5/5/2017"
"223124025","2/16/2017"
"222966491","12/5/2016"
"218611424","12/6/2016"
"215689365","3/7/2017"
"218688414","5/11/2017"
"211722079","3/30/2017"
"227169133","11/15/2016"
"226857217","4/24/2017"
"220135701","3/24/2017"
"223339714","1/23/2017"
"225266394","12/6/2016"
"219305992","1/10/2017"
"222602104","11/30/2016"
"223133802","12/1/2016"
"223136482","12/1/2016"
"209097179","5/9/2017"
"222755936","11/10/2016"
"234048551","11/16/2016"
"213026750","1/10/2017"
"227688280","12/14/2016"
"221373053","1/13/2017"
"216360487","12/19/2016"
"220306765","1/9/2017"
"223136482","4/6/2017"
"220632111","4/4/2017"
"223323965","1/13/2017"
"218611424","11/30/2016"
"216538280","12/20/2016"
"223133802","11/15/2016"
"227169133","12/6/2016"
"222470015","10/20/2016"
"218621902","12/19/2016"
"217953355","1/23/2017"
"225766187","10/3/2016"
"216487223","1/4/2017"
"215009176","1/19/2017"
"227169133","4/6/2017"
"209097179","5/10/2017"
"220135701","5/11/2017"
"211722079","3/28/2017"
"218545978","1/13/2017"
"218923126","1/23/2017"
"221461676","5/11/2017"
"218012326","2/16/2017"
"216061812","1/10/2017"
"216901348","11/17/2016"
"220360051","2/14/2017"
"240191627","1/12/2017"
"215238999","12/16/2016"
"222487142","4/5/2017"
"214242224","12/15/2016"
"216563965","1/13/2017"
"226777548","2/16/2017"
"219056090","4/4/2017"
"220076152","4/3/2017"
"226857217","3/31/2017"
"220435614","1/10/2017"
"222581233","4/5/2017"
"226728848","3/31/2017"
"221773245","12/15/2016"
"242942639","12/16/2016"
"219911674","10/20/2016"
"214788507","12/20/2016"
"209862085","12/5/2016"
"216487223","12/20/2016"
"220301287","1/9/2017"
"221775752","4/20/2017"
"232647347","1/12/2017"
"223323965","11/17/2016"
"212804280","1/19/2017"
"220346779","1/9/2017"
"221773245","10/20/2016"
"223323965","4/4/2017"
"219634813","1/10/2017"
"225766187","9/23/2016"
"225266394","2/10/2017"
"218621902","12/16/2016"
"217865765","11/28/2016"
"223133802","1/13/2017"
"219935822","3/1/2017"
"233561125","1/23/2017"
"221775752","4/21/2017"
"214330821","1/23/2017"
"217284371","12/20/2016"
"214586885","1/23/2017"
"226857217","4/27/2017"
"223269341","11/15/2016"
"215455122","12/2/2016"
"221038375","12/16/2016"
"215559154","2/6/2017"
"220301287","1/12/2017"
"215455122","12/1/2016"
"215536095","12/16/2016"
"214242224","12/22/2016"
"220149744","1/13/2017"
"213686009","1/23/2017"
"222656407","12/16/2016"
"218844272","12/6/2016"
"225766187","10/6/2016"
"217197847","3/1/2017"
"220076152","1/13/2017"
"212915938","1/4/2017"
"220703003","1/13/2017"
"220360051","9/21/2016"
"226599850","12/2/2016"
"221375330","11/28/2016"
"207057035","11/17/2016"
"216241711","1/23/2017"
"221398134","12/5/2016"
"227688280","12/15/2016"
"221261506","10/18/2016"
"232702704","1/24/2017"
"221261506","9/30/2016"
"221261506","9/19/2016"
"213403314","1/23/2017"
"216440479","1/23/2017"
"225266394","4/6/2017"
"223269341","11/28/2016"
"218545978","1/12/2017"
"222487142","11/15/2016"
"222602104","12/15/2016"
"221775752","4/26/2017"
"220926786","9/22/2016"
"222487142","2/8/2017"
"215600172","10/21/2016"
"226857217","4/20/2017"
"221373046","11/10/2016"
"225266394","2/13/2017"
"214842387","1/13/2017"
"232647347","1/10/2017"
"219828266","9/20/2016"
"226857217","5/10/2017"
"215738816","3/31/2017"
"220102644","12/16/2016"
"218932424","4/5/2017"
"216241711","5/10/2017"
"216564161","5/11/2017"
"220135701","5/10/2017"
"221013758","2/15/2017"
"220012579","11/17/2016"
"221775752","4/25/2017"
"237002209","1/4/2017"
"220076152","2/14/2017"
"225766187","9/16/2016"
"220135701","4/19/2017"
"220315097","1/4/2017"
"221218332","1/23/2017"
"218116036","1/23/2017"
"218621902","12/22/2016"
"226857217","5/24/2017"
"234048551","12/15/2016"
"236958724","1/10/2017"
"215732025","1/4/2017"
"220214647","1/10/2017"
"236958724","1/13/2017"
"212713291","1/13/2017"
"221895451","11/14/2016"
"216863860","11/28/2016"
"222487142","2/15/2017"
"226857217","4/19/2017"
"220703003","1/10/2017"
"211722079","12/21/2016"
"219714201","1/23/2017"
"222602104","11/17/2016"
"236958724","12/14/2016"
"221775752","5/22/2017"
"236052197","12/14/2016"
"221775752","3/30/2017"
"219305992","1/23/2017"
"223371634","12/1/2016"
"220328215","11/10/2016"
"222602104","2/8/2017"
"216901678","3/2/2017"
"217865765","11/17/2016"
"218611424","4/4/2017"
"208659789","3/31/2017"
"226857217","5/23/2017"
"220045421","11/28/2016"
"226857217","12/9/2016"
"218611424","4/5/2017"
"221229073","1/23/2017"
"226857217","5/22/2017"
"222487142","12/15/2016"
"222487142","12/1/2016"
"216061812","1/12/2017"
"223269341","10/20/2016"
"221214497","1/13/2017"
"211722079","3/29/2017"
"218932424","2/14/2017"
"236959060","1/13/2017"
"218844272","12/15/2016"
"226857217","5/12/2017"
"222742785","11/18/2016"
"223133802","11/14/2016"
"220076152","12/8/2016"
"209097179","3/22/2017"
"234048551","11/30/2016"
"214330821","12/5/2016"
"220306765","1/13/2017"
"232702704","1/4/2017"
"222602104","4/4/2017"
"213026750","1/11/2017"
"216423962","12/16/2016"
"226672145","11/10/2016"
"218932424","11/17/2016"
"216241711","1/19/2017"
"220360051","11/28/2016"
"211722079","3/23/2017"
"221185960","1/23/2017"
"226857217","12/5/2016"
"220711154","2/16/2017"
"218611424","11/18/2016"
"223133802","2/2/2017"
"217197987","4/4/2017"
"234681138","12/5/2016"
"223269341","12/8/2016"
"220306765","1/10/2017"
"220135701","5/22/2017"
"214842387","1/23/2017"
"216423962","2/15/2017"
"206213316","10/21/2016"
"219499043","3/2/2017"
"222602104","2/10/2017"
"227169133","2/10/2017"
"221142714","11/10/2016"
"219936788","1/4/2017"
"237076831","10/4/2016"
"221775752","5/5/2017"
"242792836","4/4/2017"
"222966491","12/15/2016"
"223125550","12/5/2016"
"214330821","12/21/2016"
"219589413","11/18/2016"
"219567153","1/13/2017"
"225766187","10/18/2016"
"216273300","12/15/2016"
"240758177","5/10/2017"
"220360051","10/3/2016"
"219305992","12/15/2016"
"221855265","1/13/2017"
"220360051","10/6/2016"
"222581233","3/31/2017"
"220301287","1/10/2017"
"221461676","1/19/2017"
"216486993","12/19/2016"
"220301287","1/13/2017"
"242036549","1/19/2017"
"220711154","1/19/2017"
"216273300","12/19/2016"
"211722079","12/20/2016"
"220076152","11/17/2016"
"214842387","1/9/2017"
"201706009","1/12/2017"
"216487447","3/2/2017"
"219634813","1/13/2017"
"218923126","5/11/2017"
"222656407","4/5/2017"
"220389456","11/17/2016"
"217182989","12/15/2016"
"223269341","12/6/2016"
"220317283","5/22/2017"
"220246292","11/28/2016"
"232145151","9/23/2016"
"223371634","12/7/2016"
"224357764","12/8/2016"
"226857217","5/4/2017"
"214842387","1/10/2017"
"223497041","11/28/2016"
"225766187","10/5/2016"
"216273300","5/10/2017"
"214842387","1/11/2017"
"226857217","12/7/2016"
"220135701","4/20/2017"
"220076152","2/8/2017"
"219936788","12/15/2016"
"220632111","4/3/2017"
"236959060","1/10/2017"
"216440479","12/5/2016"
"234048551","12/1/2016"
"214330821","12/15/2016"
"223497041","11/18/2016"
"214712432","1/23/2017"
"227169133","12/8/2016"
"219499043","3/1/2017"
"219936788","12/16/2016"
"221261506","10/3/2016"
"216487223","12/16/2016"
"222487142","11/17/2016"
"223136482","12/8/2016"
"214508384","3/2/2017"
"234048551","11/15/2016"
"222467359","5/5/2017"
"215883398","3/1/2017"
"216273300","12/20/2016"
"219592011","12/14/2016"
"223323965","11/16/2016"
"218923126","1/24/2017"
"237076831","10/5/2016"
"226857217","4/21/2017"
"220711154","2/15/2017"
"219592011","1/23/2017"
"225766187","9/15/2016"
"221185960","12/14/2016"
"222602104","12/1/2016"
"226857217","5/11/2017"
"213026750","1/9/2017"
"222487142","4/4/2017"
"222700791","9/23/2016"
"214330821","12/22/2016"
"220632111","4/5/2017"
"222822959","4/4/2017"
"214842387","1/17/2017"
"221775752","4/4/2017"
"221775752","4/27/2017"
"220076152","4/4/2017"
"220703003","1/12/2017"
"220012579","11/28/2016"
"219305992","12/14/2016"
"223302100","12/21/2016"
"222059958","2/16/2017"
"221261506","12/15/2016"
"226857217","4/11/2017"
"222552374","2/16/2017"
"222059958","2/15/2017"
"225766187","9/30/2016"
"221261506","9/23/2016"
"222966491","12/8/2016"
"224358028","2/16/2017"
"220315097","1/23/2017"
"216328336","1/9/2017"
"211722079","3/24/2017"
"220117584","5/9/2017"
"225266394","2/14/2017"
"220792832","11/10/2016"
"220149744","1/12/2017"
"220076152","4/6/2017"
"217008168","1/10/2017"
"219305992","12/16/2016"
"216055574","4/6/2017"
"221773245","1/13/2017"
"239651193","11/17/2016"
"222700791","9/12/2016"
"219828266","9/23/2016"
"212804280","5/5/2017"
"220076152","11/15/2016"
"220372304","12/15/2016"
"222602104","11/28/2016"
"220012637","2/15/2017"
"211722079","12/22/2016"
"222552374","2/15/2017"
"217327329","1/23/2017"
"237076831","10/13/2016"
"216901348","1/13/2017"
"221394521","10/21/2016"
"220389456","1/13/2017"
"213403314","12/15/2016"
"222602104","11/14/2016"
"222700791","10/7/2016"
"221794712","12/16/2016"
"220076152","11/14/2016"
"219589413","12/6/2016"
"218738615","12/16/2016"
"220135701","5/12/2017"
"221775752","4/19/2017"
"237076831","10/14/2016"
"220045215","4/5/2017"
"223371634","12/2/2016"
"222521007","12/2/2016"
"237076831","11/10/2016"
"220076152","12/15/2016"
"215569393","3/2/2017"
"221394521","10/20/2016"
"216273300","2/6/2017"
"211722079","3/31/2017"
"222467359","4/25/2017"
"213442296","12/8/2016"
"219499043","3/7/2017"
"223323965","4/5/2017"
"221277122","12/15/2016"
"219759081","3/6/2017"
"227189917","4/5/2017"
"221069008","11/10/2016"
"223323965","2/10/2017"
"213403314","12/16/2016"
"227169133","2/14/2017"
"214888349","1/4/2017"
"218611424","11/16/2016"
"226672012","3/6/2017"
"220711154","1/23/2017"
"216487819","12/21/2016"
"222467359","5/22/2017"
"223136482","2/13/2017"
"215738816","4/4/2017"
"222700981","4/5/2017"
"222487142","2/13/2017"
"220045421","12/8/2016"
"237076831","9/27/2016"
"216061812","1/13/2017"
"215883398","3/7/2017"
"225266394","4/4/2017"
"222602104","10/20/2016"
"218688414","12/5/2016"
"236052197","12/16/2016"
"223323965","4/3/2017"
"215689365","3/2/2017"
"221381601","12/16/2016"
"218611424","1/13/2017"
"215883398","3/2/2017"
"223323965","2/14/2017"
"239651193","11/28/2016"
"227169133","4/4/2017"
"217865765","1/13/2017"
"226857217","5/9/2017"
"220317283","4/13/2017"
"219935822","3/7/2017"
"222581233","4/4/2017"
"214330821","5/9/2017"
"216490482","1/4/2017"
"226857217","4/18/2017"
"220360051","9/30/2016"
"220360051","9/19/2016"
"220117584","5/5/2017"
"236958724","1/9/2017"
"216273300","12/21/2016"
"225266394","12/5/2016"
"222487142","4/6/2017"
"222537607","12/5/2016"
"220814677","1/23/2017"
"218611424","12/15/2016"
"219828266","1/13/2017"
"220076152","12/1/2016"
"225766187","10/12/2016"
"215238999","12/15/2016"
"215455122","12/7/2016"
"220117584","1/24/2017"
"222700791","10/13/2016"
"217008168","1/9/2017"
"216273300","12/16/2016"
"220796759","12/15/2016"
"212915938","1/23/2017"
"214712432","5/11/2017"
"216249656","1/4/2017"
"223323965","2/8/2017"
"218923126","1/19/2017"
"236959060","1/9/2017"
"216061812","1/9/2017"
"223124025","2/15/2017"
"216273300","5/5/2017"
"220214647","12/14/2016"
"234048551","11/28/2016"
"220814677","12/15/2016"
"226857217","4/6/2017"
"220117584","5/10/2017"
"214481558","3/1/2017"
"220012389","3/2/2017"
"226857217","4/3/2017"
"223497041","11/17/2016"
"216055574","4/5/2017"
"217197987","2/13/2017"
"219936788","12/20/2016"
"220117584","5/11/2017"
"220814677","12/16/2016"
"214842387","1/12/2017"
"219935822","3/2/2017"
"217182989","12/16/2016"
"220360051","12/15/2016"
"214481558","3/2/2017"
"212915938","11/17/2016"
"209097179","1/23/2017"
"224357764","12/15/2016"
"220360051","9/12/2016"
"222552374","12/1/2016"
"221013758","12/2/2016"
"218611424","2/14/2017"
"218545978","1/10/2017"
"214313231","12/16/2016"
"227453891","1/9/2017"
"220012579","1/13/2017"
"225766187","10/21/2016"
"215540311","11/10/2016"
"221373053","1/12/2017"
"219056090","4/5/2017"
"220202287","4/3/2017"
"225766187","10/14/2016"
"214751406","12/5/2016"
"215883398","3/6/2017"
"216538280","12/16/2016"
"225266394","4/3/2017"
"218738615","2/15/2017"
"223497041","11/30/2016"
"215366907","11/15/2016"
"223137142","2/10/2017"
"220872287","1/13/2017"
"221775752","3/31/2017"
"220370043","1/4/2017"
"223269341","12/1/2016"
"221855265","11/17/2016"
"220801286","2/15/2017"
"234048551","1/13/2017"
"221261506","9/16/2016"
"214842387","1/19/2017"
"222487142","12/8/2016"
"225161025","12/22/2016"
"219592011","12/15/2016"
"209097179","5/11/2017"
"214586885","1/10/2017"
"217197987","12/1/2016"
"222487142","2/14/2017"
"214842387","1/5/2017"
"213443674","12/19/2016"
"215536095","12/22/2016"
"219714201","1/19/2017"
"216563965","11/17/2016"
"214330821","12/19/2016"
"226857217","3/22/2017"
"223497041","1/13/2017"
"222700791","9/29/2016"
"210187886","12/16/2016"
"216356352","3/2/2017"
"221261506","10/21/2016"
"217008168","1/13/2017"
"221218332","1/19/2017"
"218621902","12/20/2016"
"220360051","11/16/2016"
"215569393","3/7/2017"
"215689365","3/6/2017"
"223133802","12/15/2016"
"215540444","5/11/2017"
"215536095","12/19/2016"
"223131418","12/6/2016"
"218611424","2/8/2017"
"213026750","1/12/2017"
"215238999","12/21/2016"
"218971257","1/12/2017"
"222602104","12/8/2016"
"221277122","12/6/2016"
"219828266","1/12/2017"
"218116036","12/16/2016"
"222467359","4/18/2017"
"214330821","12/20/2016"
"214888349","12/20/2016"
"220360051","10/12/2016"
"222602104","12/6/2016"
"221373053","1/10/2017"
"218509479","12/5/2016"
"226857217","4/4/2017"
"220360051","2/10/2017"
"221775752","4/18/2017"
"211722079","3/21/2017"
"218634418","1/4/2017"
"222700791","10/20/2016"
"223371634","12/5/2016"
"221775752","4/12/2017"
"222537607","12/1/2016"
"219936788","12/22/2016"
"223323965","4/6/2017"
"218012326","12/16/2016"
